project,views_sum,processed_views_mean
de.s,16707,3.1825582091338958
de.v,71602,8.412278986620485
de.voy,13895,3.02907520690896
dga,262,6.519083969465649
dga.m,132,1.4393939393939394
din,489,5.237218813905931
din.m,476,1.4243697478991597
diq,6063,3.0174830941777997
diq.d,297,2.0841750841750843
diq.m,18635,1.0372417493962973
diq.m.d,282,1.0212765957446808
dk.m,206,2.737864077669903
dk.m.m,44,1.3636363636363635
dsb,1559,2.929441949967928
dsb.m,1745,1.1696275071633238
dtp,617,4.760129659643436
dtp.m,303,1.99009900990099
dty,2281,2.04340201665936
dty.m,4364,1.2763519706691109
dv,2072,3.140926640926641
dv.d,183,3.9508196721311477
dv.m,4797,1.1046487387950803
dv.m.d,64,1.5
dz,1069,3.029934518241347
dz.d,3,1
dz.m,2397,1.425531914893617
dz.m.d,3,1
ec.m,1,1
ee,675,4.451851851851852
ee.m,359,2.1922005571030643
ee.m.m,57,1.8771929824561404
el,253222,11.89515129017226
el.b,372,2.9086021505376345
el.d,62372,2.8729878791765535
el.m,840408,172.6233805484955
el.m.b,283,3.431095406360424
el.m.d,149099,6.911240182697402
el.m.n,424,4.047169811320755
el.m.q,748,1.5401069518716577
el.m.s,7237,2.4003039933674173
el.m.v,503,2.725646123260437
el.m.voy,2068,7.197292069632495
el.n,472,5.7923728813559325
el.q,587,1.7938671209540034
el.s,3719,1.8195751546114547
el.v,521,3.614203454894434
el.voy,770,3.1142857142857143
eml,2417,3.5486139842780307
eml.m,4951,1.2254090082811553
en,81327767,4389.706342939429
en.b,182707,225.62521961391735
en.d,1327120,80.53601482910362
en.m,163111586,4934.257052114005
en.m.b,350940,552.5718470393799
en.m.d,1143928,60.40482792623312
en.m.n,67916,6.86668826197067
en.m.q,277042,755.7303080399362
en.m.s,297349,3.8609411835923444
en.m.v,30044,5.502196778058847
en.m.voy,93740,4.951610838489439
en.n,19025,35.784126149802894
en.q,87887,356.5242527336239
en.s,398648,1662.4260701169953
en.v,57994,346.11856398937823
en.voy,96971,345.2477441709377
eo,32659,11.264123212590711
eo.b,312,1.8525641025641026
eo.d,1251,1.618705035971223
eo.m,13325,2.175684803001876
eo.m.b,423,1.42080378250591
eo.m.d,2516,1.0635930047694753
eo.m.n,376,1.7606382978723405
eo.m.q,297,1.0336700336700337
eo.m.s,4266,1.0328176277543366
eo.m.voy,488,1.2418032786885247
eo.n,1159,6.318377911993098
eo.q,933,1.9410503751339765
eo.s,1671,1.3997606223818073
eo.voy,403,1.5508684863523574
es,6165915,279.5192896755794
es.b,6297,3.1260917897411464
es.d,59909,2.9266554273982206
es.m,17997318,445.39478693436433
es.m.b,7812,1.8655913978494623
es.m.d,127642,4.732768211090393
es.m.n,1532,1.612271540469974
es.m.q,3490,2.721489971346705
es.m.s,52009,1.794208694649003
es.m.v,1928,3.87551867219917
es.m.voy,3532,2.3080407701019254
es.n,3444,6.66144018583043
es.q,4276,5.7820392890551915
es.s,37511,2.2923675721788275
es.v,1736,3.1693548387096775
es.voy,2770,2.6498194945848375
et,91482,4.620034542314335
et.b,238,2.302521008403361
et.d,2176,3.9908088235294117
et.m,123459,4.141010375914271
et.m.b,70,1.1428571428571428
et.m.d,3826,1.104025091479352
et.m.q,1268,2.085173501577287
et.m.s,1877,1.0703249866808737
et.q,1250,1.6016
et.s,1115,2.043946188340807
eu,31345,4.874493539639496
eu.b,295,1.5084745762711864
eu.d,1068,3.5805243445692883
eu.m,23745,9.632638450200043
eu.m.b,295,1.0271186440677966
eu.m.d,1794,1.0312151616499443
eu.m.q,60,1.1666666666666667
eu.m.s,1001,1.053946053946054
eu.q,189,1.6772486772486772
eu.s,655,1.201526717557252
ext,1891,2.1634056054997357
ext.m,2561,2.85864896524795
fa,531242,19.374134575203016
fa.b,759,2.9183135704874834
fa.d,2100,3.7495238095238097
fa.m,7188973,234.38629425927738
fa.m.b,2290,4.090829694323144
fa.m.d,10066,3.9175442082257104
fa.m.n,361,2.185595567867036
fa.m.q,5678,3.8735470235998593
fa.m.s,12912,2.0243184634448577
fa.m.voy,1587,3.686830497794581
fa.n,618,8.77346278317152
