project,views,processed_views
ch.d,53,4.048611111111111
ch.m,1717,2.6586492320639254
ch.m.b,26,2.0606060606060606
ch.m.d,14,1.25
cho,250,21.819345238095238
cho.m,56,8.75925925925926
chr,1621,7.675642671551375
chr.d,262,19.87884199134199
chr.m,3709,2.1764839037943857
chr.m.d,65,1.4603174603174605
chy,753,7.731655774958205
chy.m,216,2.6994588166463167
ckb,11440,5.482645700324401
ckb.d,183,5.9178321678321675
ckb.m,17942,2.177155942880954
ckb.m.d,138,1.488328664799253
cn.m,55,5.203703703703704
cn.m.m,27,6.85
co,2307,3.8904319167635077
co.b,136,1.8363771645021645
co.d,496,12.51383854435325
co.m,1913,2.0207468062020015
co.m.b,44,1.225
co.m.d,460,1.1636876006441224
co.m.m,312,3.590554132006338
co.m.q,29,1.375
co.q,65,2.9411764705882355
commons.m,2047133,142.7623404767297
commons.m.m,1378666,809.7020761024897
cr,481,11.72685399431723
cr.d,28,3.425
cr.m,155,2.257936507936508
cr.m.d,8,4.0
cr.m.q,8,4.0
cr.q,11,1.375
crh,3866,2.8811574359927303
crh.m,2596,3.219413979861423
cs,653032,38.86994721063633
cs.b,3744,448.9528385071078
cs.d,13854,6.773519201132797
cs.m,1294072,97.05380288317052
cs.m.b,592,1.5869526266673735
cs.m.d,18396,2.2427229607076353
cs.m.n,484,2.3108598976954937
cs.m.q,1312,4.1222193597841335
cs.m.s,12310,1.9682352222110284
cs.m.v,425,1.5683133417508417
cs.m.voy,204,1.8886780331967499
cs.n,746,22.27242390918842
cs.q,1584,3.545748976223724
cs.s,3490,2.155410584862435
cs.v,802,10.082149742058967
cs.voy,618,7.018375540522279
csb,1704,4.141690077284846
csb.d,217,13.63931277056277
csb.m,1846,1.2121670885797313
csb.m.d,97,1.1640074211502782
cu,1093,6.066619653333217
cu.m,511,3.034897674144629
cv,6074,2.422312937509441
cv.b,70,3.159722222222222
cv.m,3827,1.7099677097421795
cv.m.b,56,1.4095238095238096
cy,20090,12.380818599987768
cy.b,56,4.842105263157895
cy.d,674,7.465088257453806
cy.m,71971,1.511341267806909
cy.m.b,32,1.2083333333333333
cy.m.d,1013,1.0971762831232492
cy.m.q,124,1.0925099206349207
cy.m.s,3403,1.3024982704549133
cy.q,166,2.688392857142857
cy.s,2556,2.3872155074391808
da,175469,28.418291095884356
da.b,427,3.9686634120022277
da.d,1512,7.43443841535911
da.m,494515,73.67844362339942
da.m.b,169,1.627733860342556
da.m.d,2320,1.1474770774592808
da.m.q,254,2.8443376068376067
da.m.s,2711,1.5650951282062364
da.q,296,3.8186214826839824
da.s,1426,2.7999345446743025
dag,2781,4.532528419018312
dag.m,3481,1.8212235116662754
de,8566481,3317.5226508109367
de.b,19483,3.9746430391537597
de.d,94014,20.542099729909282
de.m,15592172,1816.619823149359
de.m.b,27614,3.139715640891877
de.m.d,113251,8.469224004582138
de.m.n,1627,3.238836131534586
de.m.q,3304,4.36691065283147
de.m.s,103338,3.090282296664637
de.m.v,18056,1.2338958956121702
de.m.voy,37807,4.269797645541045
de.n,5850,52.59910306468807
de.q,3211,4.484291366950494
de.s,16707,5.277913332920503
de.v,71602,7.10633193914592
de.voy,13895,3.6203943651832677
dga,262,18.405627705627705
dga.m,132,1.6870292207792208
din,489,10.676306130074073
din.m,476,1.5773920167193152
diq,6063,4.894293369645453
diq.d,297,3.920708956115655
diq.m,18635,1.2587158809257437
diq.m.d,282,1.1915584415584415
dk.m,206,4.657954545454546
dk.m.m,44,1.378151260504202
dsb,1559,3.8743479261061506
dsb.m,1745,1.25984984455668
dtp,617,8.205512736901442
dtp.m,303,2.9845887698160425
dty,2281,3.199968888369815
dty.m,4364,1.7621215723861445
dv,2072,4.463775356459534
dv.d,183,11.823358585858585
dv.m,4797,1.7364137248712501
dv.m.d,64,1.631578947368421
dz,1069,5.243006550279421
dz.d,3,1.0
dz.m,2397,1.7839167074446953
dz.m.d,3,1.0
ec.m,1,1.0
ee,675,7.364833417234444
ee.m,359,3.1428077938104675
ee.m.m,57,2.2175925925925926
el,253222,16.03504962552565
el.b,372,5.294968259929897
el.d,62372,3.568414036582679
el.m,840408,305.943363726004
el.m.b,283,4.676062095220846
el.m.d,149099,8.083943791812265
el.m.n,424,10.202900699871325
el.m.q,748,1.789707015026846
el.m.s,7237,3.869323545654069
el.m.v,503,4.370473938767835
el.m.voy,2068,10.99340947183989
el.n,472,11.24823486617198
el.q,587,2.8402922526274574
el.s,3719,2.3666256066747255
el.v,521,7.300056212478572
el.voy,770,4.667009022358554
eml,2417,5.134858676481382
eml.m,4951,1.3174656983791027
en,81327767,14667.584263350427
en.b,182707,654.2059818589019
en.d,1327120,103.97515309451198
en.m,163111586,26733.747533221245
en.m.b,350940,1120.3369052706905
en.m.d,1143928,84.94242291576285
en.m.n,67916,10.76424229133945
en.m.q,277042,1646.4420979816148
en.m.s,297349,5.164326062445755
en.m.v,30044,11.992241802587694
en.m.voy,93740,8.821645064012026
en.n,19025,59.37854688711213
en.q,87887,760.2304299072526
en.s,398648,3049.727243909965
en.v,57994,999.0726909008663
en.voy,96971,812.4978186422135
eo,32659,14.24712202414089
eo.b,312,2.1277320505581376
eo.d,1251,2.0356700249825748
eo.m,13325,2.547308050461956
eo.m.b,423,1.649767356038641
eo.m.d,2516,1.1328715932401774
eo.m.n,376,3.624772277659506
eo.m.q,297,1.0784632034632033
